Axial load (kN),lat disp top (mm),Lat drift,Lat Load_Resultant (kN),Total Load (kN)
250.0800524,-0.196820138,-0.008116294,-25.43443316,-25.43443316
250.1091803,-0.183987655,-0.00758712,-24.942444,-24.942444
250.0645594,-0.185987739,-0.007669597,-24.30364427,-24.30364427
250.1208203,-0.185708945,-0.007658101,-22.51326918,-22.51326918
250.0093368,-0.194206904,-0.008008532,-26.32670564,-26.32670564
250.1058739,-0.180913038,-0.007460331,-26.301351,-26.301351
250.1033054,-0.184188696,-0.00759541,-23.59205548,-23.59205548
250.0682755,-0.177545078,-0.007321446,-20.36219452,-20.36219452
250.0529191,-0.200001445,-0.008247482,-22.24792304,-22.24792304
250.0970753,-0.190291251,-0.007847062,-24.88259686,-24.88259686
250.1083328,-0.190210937,-0.00784375,-22.39159204,-22.39159204
250.0436014,-0.194927021,-0.008038228,-22.12027817,-22.12027817
250.1176507,-0.180412418,-0.007439687,-23.05966728,-23.05966728
250.064204,-0.184068059,-0.007590435,-23.93523735,-23.93523735
250.0768825,-0.191020496,-0.007877134,-26.65630611,-26.65630611
250.0743415,-0.192127114,-0.007922768,-26.52940608,-26.52940608
250.0592037,-0.190273554,-0.007846332,-23.49176109,-23.49176109
250.0481101,-0.18970462,-0.007822871,-23.73842144,-23.73842144
250.1469423,-0.190512252,-0.007856175,-24.38261744,-24.38261744
250.0296935,-0.19293282,-0.007955993,-25.36666544,-25.36666544
250.07885,-0.182644237,-0.007531721,-26.37524306,-26.37524306
250.0692591,-0.192644694,-0.007944111,-25.81681617,-25.81681617
250.0776204,-0.190542022,-0.007857403,-24.85426294,-24.85426294
250.0866374,-0.189647191,-0.007820503,-26.23971208,-26.23971208
250.0428091,-0.193815179,-0.007992379,-24.10128527,-24.10128527
250.1166124,-0.196719044,-0.008112126,-23.84526105,-23.84526105
250.0058665,-0.192417487,-0.007934742,-25.37511244,-25.37511244
250.0426725,-0.179959718,-0.007421019,-23.51072355,-23.51072355
250.051307,-0.181531232,-0.007485824,-25.95779128,-25.95779128
250.0310597,-0.189314359,-0.007806778,-24.21886683,-24.21886683
250.0568813,-0.192713777,-0.00794696,-25.59560471,-25.59560471
250.0048282,-0.192234113,-0.00792718,-25.45683287,-25.45683287
250.0170148,-0.187244295,-0.007721414,-25.77542042,-25.77542042
250.0720462,-0.181675865,-0.007491788,-26.03089858,-26.03089858
250.021059,-0.193504149,-0.007979553,-25.95726991,-25.95726991
250.0354589,-0.192886172,-0.007954069,-25.4653131,-25.4653131
250.0654337,-0.186893784,-0.00770696,-26.18903404,-26.18903404
250.0328903,-0.192735463,-0.007947854,-24.22444242,-24.22444242
250.0498316,-0.186840834,-0.007704777,-25.33703904,-25.33703904
250.0426453,-0.184598677,-0.007612317,-26.36551967,-26.36551967
250.0367432,-0.196762107,-0.008113901,-25.51919995,-25.51919995
250.0499135,-0.185959852,-0.007668448,-26.70339345,-26.70339345
250.0024236,-0.188245016,-0.007762681,-26.06035237,-26.06035237
250.0413883,-0.187668126,-0.007738892,-24.65493976,-24.65493976
250.0562255,-0.181755612,-0.007495077,-27.22841086,-27.22841086
250.0445853,-0.178776307,-0.007372219,-25.34380624,-25.34380624
250.0563619,-0.188459734,-0.007771535,-26.49432358,-26.49432358
249.9925324,-0.194950705,-0.008039204,-24.74842201,-24.74842201
250.0821563,-0.195163452,-0.008047977,-26.0408755,-26.0408755
250.0071508,-0.191021018,-0.007877155,-26.27833631,-26.27833631
249.991248,-0.194322022,-0.008013279,-26.75054022,-26.75054022
250.0430278,-0.190769244,-0.007866773,-25.08719545,-25.08719545
249.9751539,-0.18366613,-0.007573861,-26.10694008,-26.10694008
250.0182444,-0.18345173,-0.00756502,-28.63162061,-28.63162061
250.0629473,-0.194369047,-0.008015218,-26.69027375,-26.69027375
250.0353769,-0.186365552,-0.007685177,-26.8742517,-26.8742517
250.0466072,-0.189667043,-0.007821321,-26.85841885,-26.85841885
250.0674557,-0.202420562,-0.00834724,-27.47304611,-27.47304611
250.0552691,-0.174419104,-0.00719254,-28.96464974,-28.96464974
250.0705434,-0.184787994,-0.007620123,-26.70624799,-26.70624799
250.0430003,-0.180045456,-0.007424555,-27.54134536,-27.54134536
250.0531924,-0.193336864,-0.007972654,-27.14309915,-27.14309915
250.0902442,-0.182375798,-0.007520651,-29.77723974,-29.77723974
250.0764728,-0.193916318,-0.007996549,-28.67591591,-28.67591591
250.0329177,-0.187603689,-0.007736235,-27.97315837,-27.97315837
250.0759264,-0.18712308,-0.007716416,-27.44226038,-27.44226038
250.0432735,-0.186057101,-0.007672458,-26.90992302,-26.90992302
250.0663081,-0.191702859,-0.007905273,-28.84100647,-28.84100647
249.9948274,-0.183914179,-0.00758409,-30.45629982,-30.45629982
250.0718549,-0.187793805,-0.007744074,-29.28158767,-29.28158767
250.0401313,-0.184583354,-0.007611685,-27.94433467,-27.94433467
250.0435468,-0.185314018,-0.007641815,-29.75306598,-29.75306598
250.0863917,-0.187228596,-0.007720767,-27.20698333,-27.20698333
249.9476656,-0.191192966,-0.007884246,-29.33590425,-29.33590425
250.0037353,-0.184143211,-0.007593534,-30.41579402,-30.41579402
250.0031069,-0.193488297,-0.007978899,-31.07825977,-31.07825977
250.0058393,-0.180535985,-0.007444783,-29.04451605,-29.04451605
249.9372005,-0.176968778,-0.007297682,-29.78277332,-29.78277332
250.0212503,-0.184416431,-0.007604801,-29.41302884,-29.41302884
250.0096375,-0.18817742,-0.007759894,-29.25206454,-29.25206454
249.9291397,-0.191206429,-0.007884801,-28.55864686,-28.55864686
250.0124517,-0.199827563,-0.008240312,-28.86071397,-28.86071397
249.97264,-0.186753714,-0.007701184,-28.69660023,-28.69660023
249.9072528,-0.19423672,-0.008009762,-30.04341071,-30.04341071
249.9932429,-0.181762856,-0.007495376,-31.02736712,-31.02736712
249.9523108,-0.193698255,-0.007987557,-30.56855638,-30.56855638
