Axial load (kN),lat disp top (mm),Lat drift,Lat Load Act 1(kN),Lat load Act 2 (kN),Total Load (kN)
244.5112147,-0.014019,-0.000578103,0.37798382,2.94665836,3.32464218
244.4407726,-0.006478,-0.000267134,1.10467007,1.32285696,2.42752703
244.4200061,-0.006271,-0.000258598,0.36522893,0.74387971,1.10910864
244.3238518,-0.002013,-8.30E-05,0.74749867,0.92227759,1.66977626
244.3366124,-0.010434,-0.000430268,-0.27618467,3.21143371,2.93524904
244.2786302,-0.004207,-0.000173485,0.59930872,2.07465716,2.67396588
244.1774755,-0.007446,-0.000307052,1.73864331,-1.29613807,0.44250524
244.2480543,-0.009856,-0.000406433,-0.09350163,0.80710762,0.71360599
244.116023,-0.015228,-0.000627959,1.9014054,-2.21471037,-0.31330497
244.0792994,-0.000579,-2.39E-05,-0.22838809,2.23361075,2.00522266
244.0367553,-0.011557,-0.000476577,0.98651584,0.44215343,1.42866927
244.0410178,-0.003239,-0.000133567,1.68817232,-0.02950636,1.65866596
244.0101414,-0.019383,-0.000799299,1.90373694,-0.80880729,1.09492965
243.9469949,-0.008923,-0.000367959,-0.52970539,-0.465303,-0.99500839
243.8987403,-0.006945,-0.000286392,2.55893405,-1.77038136,0.78855269
243.8422609,-0.009268,-0.000382186,2.78224761,-0.6989743,2.08327331
243.8637924,-0.006971,-0.000287464,1.81328689,0.45003992,2.26332681
243.7878855,-0.003343,-0.000137856,1.00653966,-0.86340085,0.14313881
243.7216786,-0.011454,-0.00047233,1.66759991,-0.88546263,0.78213728
243.7254494,-0.017517,-0.000722351,1.63499263,-1.3148005,0.32019213
243.6608821,-0.024946,-0.001028701,2.12807912,-2.93221112,-0.804132
243.6713474,-0.003222,-0.000132866,2.05840721,-3.4174683,-1.35906109
243.6157697,-0.004967,-0.000204825,0.27457315,0.38657406,0.66114721
243.5613396,-0.009527,-0.000392866,0.89568863,0.72287173,1.61856036
243.5756849,-0.009864,-0.000406763,1.5539716,0.339799,1.8937706
243.4966903,0.000207,8.54E-06,0.81442759,1.22318803,2.03761562
243.4945317,0.004448,0.000183423,1.74505505,-0.22078777,1.52426728
243.4467142,-0.0052,-0.000214433,1.78849713,-1.82014784,-0.03165071
243.3833764,-0.009009,-0.000371505,1.26527206,0.63846587,1.90373793
243.359741,-0.008163,-0.000336619,1.7389519,-1.60588682,0.13306508
243.3042998,-0.023287,-0.000960289,-0.87028171,4.38437935,3.51409764
243.2458259,-0.006737,-0.000277814,0.9372792,1.18365359,2.12093279
243.1909312,-0.015185,-0.000626186,0.7677625,-0.01478717,0.75297533
243.2029541,-0.018062,-0.000744825,0.80074694,-0.1992019,0.60154504
243.1343427,-0.017967,-0.000740907,1.40543877,1.13198347,2.53742224
243.1537158,0.007117,0.000293485,2.62161134,1.40012418,4.02173552
243.0553483,-0.00539,-0.000222268,1.16450151,1.78302694,2.94752845
243.0310297,-0.024004,-0.000989856,1.45357822,0.81591193,2.26949015
243.0147991,-0.013319,-0.000549237,-0.55740957,1.08092524,0.52351567
242.9568714,-0.004215,-0.000173814,0.01484642,-0.57333433,-0.55848791
242.9529093,-0.01141,-0.000470515,-1.6011853,2.98248751,1.38130221
242.8914297,0.000708,2.92E-05,-0.43154068,-0.48852055,-0.92006123
