Axial load (kN),lat disp top (mm),Lat drift,Lat Load_Resultant (kN),Total Load (kN)
248.4913866,-0.461283579,-0.019022003,-33.41065329,-33.41065329
248.5109509,-0.449960288,-0.018555063,-32.51999825,-32.51999825
248.4410552,-0.451600111,-0.018622685,-32.80997021,-32.80997021
248.4496077,-0.461249351,-0.019020592,-33.76597893,-33.76597893
248.5058139,-0.450307904,-0.018569398,-34.52262478,-34.52262478
248.467505,-0.450153626,-0.018563036,-34.26045603,-34.26045603
248.466986,-0.456115384,-0.018808882,-33.93001417,-33.93001417
248.4299068,-0.456642924,-0.018830636,-34.69736883,-34.69736883
248.4464926,-0.454959248,-0.018761206,-34.70451894,-34.70451894
248.4617944,-0.461702816,-0.019039291,-34.66385835,-34.66385835
248.4307266,-0.450677689,-0.018584647,-33.58669452,-33.58669452
248.4089762,-0.443940983,-0.018306845,-33.6604324,-33.6604324
248.393948,-0.466957303,-0.019255971,-34.82237801,-34.82237801
248.4081293,-0.455727867,-0.018792902,-36.32472216,-36.32472216
248.400943,-0.450443572,-0.018574993,-34.17325329,-34.17325329
248.4361094,-0.449868042,-0.018551259,-37.26421942,-37.26421942
248.4297429,-0.454354612,-0.018736273,-35.22947023,-35.22947023
248.3702031,-0.453592556,-0.018704848,-34.88542745,-34.88542745
248.3317305,-0.459753358,-0.018958901,-34.69518553,-34.69518553
248.4358908,-0.452918979,-0.018677071,-36.50963457,-36.50963457
248.3602024,-0.458799064,-0.018919549,-38.07236303,-38.07236303
248.3912154,-0.455957395,-0.018802367,-35.94358719,-35.94358719
248.3631808,-0.45271188,-0.018668531,-38.27979308,-38.27979308
248.3072478,-0.454384631,-0.018737511,-36.24529338,-36.24529338
248.3736734,-0.460458439,-0.018987977,-41.09666245,-41.09666245
248.3516499,-0.460052775,-0.018971248,-38.9039998,-38.9039998
248.3056356,-0.452764664,-0.018670708,-37.6212044,-37.6212044
248.3504203,-0.445190834,-0.018358385,-37.78835894,-37.78835894
248.3195438,-0.460746358,-0.01899985,-35.28163574,-35.28163574
248.3597105,-0.446486656,-0.018411821,-38.11034063,-38.11034063
248.3309927,-0.454851993,-0.018756783,-38.64831123,-38.64831123
248.3596286,-0.460721823,-0.018998838,-40.30489135,-40.30489135
248.2603045,-0.453612951,-0.018705689,-36.75287566,-36.75287566
248.3135324,-0.46062744,-0.018994946,-36.57798988,-36.57798988
248.3198171,-0.465281509,-0.019186866,-38.73420661,-38.73420661
248.2581459,-0.448296232,-0.018486443,-38.4555856,-38.4555856
248.2685019,-0.456820685,-0.018837966,-38.73515325,-38.73515325
248.2678461,-0.446608339,-0.018416839,-38.67599489,-38.67599489
248.2103283,-0.459788696,-0.018960359,-40.04844054,-40.04844054
248.2184436,-0.458566189,-0.018909946,-38.89207263,-38.89207263
248.3168114,-0.451213688,-0.01860675,-40.05802249,-40.05802249
248.1571278,-0.46109729,-0.019014321,-41.49190436,-41.49190436
248.1898623,-0.460445236,-0.018987432,-40.28388832,-40.28388832
248.1764187,-0.460651667,-0.018995945,-39.43672355,-39.43672355
248.2167497,-0.472697554,-0.019492683,-41.42258044,-41.42258044
248.1616363,-0.462320067,-0.019064745,-40.00474685,-40.00474685
248.1480834,-0.469436165,-0.019358192,-41.29059869,-41.29059869
248.2379259,-0.474974955,-0.019586596,-41.07380466,-41.07380466
248.2128149,-0.465255876,-0.019185809,-39.61637528,-39.61637528
248.1606252,-0.468451398,-0.019317583,-40.60574595,-40.60574595
248.2174327,-0.467352438,-0.019272266,-41.17135871,-41.17135871
248.1678936,-0.475091207,-0.01959139,-41.33046938,-41.33046938
248.1617456,-0.468984529,-0.019339568,-41.55689385,-41.55689385
248.2180884,-0.479135385,-0.01975816,-42.02150285,-42.02150285
248.2260125,-0.474737423,-0.019576801,-41.94889509,-41.94889509
248.1733586,-0.481441722,-0.019853267,-41.54671262,-41.54671262
248.2292914,-0.479640846,-0.019779004,-42.04687766,-42.04687766
248.1466352,-0.463788513,-0.0191253,-41.74158432,-41.74158432
248.1237099,-0.48454637,-0.019981294,-42.9100407,-42.9100407
248.1234913,-0.474115177,-0.019551141,-42.38544423,-42.38544423
248.1993167,-0.47192802,-0.019460949,-41.72477177,-41.72477177
248.0970141,-0.467663489,-0.019285092,-42.11541261,-42.11541261
248.1755991,-0.469437336,-0.019358241,-43.6440075,-43.6440075
248.1105944,-0.478428248,-0.019729,-43.33814895,-43.33814895
248.1124799,-0.47738781,-0.019686095,-42.32786034,-42.32786034
248.1445039,-0.466273884,-0.019227789,-41.56303962,-41.56303962
248.1680303,-0.474184281,-0.019553991,-42.014122,-42.014122
248.1286833,-0.468542927,-0.019321358,-42.68187157,-42.68187157
248.1696424,-0.467342366,-0.01927185,-43.05990091,-43.05990091
248.1063592,-0.46843757,-0.019317013,-43.54895477,-43.54895477
248.1374816,-0.477805694,-0.019703328,-42.84498763,-42.84498763
248.1552971,-0.477500175,-0.019690729,-43.02816353,-43.02816353
248.1232456,-0.471358828,-0.019437477,-43.82018433,-43.82018433
248.1275356,-0.484955303,-0.019998157,-42.24727935,-42.24727935
248.1179995,-0.474412592,-0.019563406,-42.6329104,-42.6329104
248.1014681,-0.479399113,-0.019769036,-44.39523032,-44.39523032
248.0813301,-0.485116881,-0.02000482,-44.4689638,-44.4689638
248.0396875,-0.476033699,-0.019630256,-45.49669829,-45.49669829
248.0451525,-0.475555309,-0.019610528,-44.62524602,-44.62524602
248.1317983,-0.478725609,-0.019741262,-44.7583888,-44.7583888
248.1545318,-0.485153439,-0.020006327,-43.29779209,-43.29779209
248.0771221,-0.486607043,-0.02006627,-45.2546889,-45.2546889
248.0637058,-0.485543469,-0.020022411,-44.26297796,-44.26297796
248.0640338,-0.480019622,-0.019794624,-43.92778174,-43.92778174
248.1135729,-0.489869992,-0.020200824,-44.81001664,-44.81001664
248.0741711,-0.492631985,-0.020314721,-44.07638047,-44.07638047
248.1588494,-0.506370548,-0.02088126,-44.47112119,-44.47112119
248.1322355,-0.496993509,-0.020494578,-45.49691834,-45.49691834
248.1138462,-0.498332194,-0.020549781,-45.23879096,-45.23879096
248.094965,-0.496764282,-0.020485125,-47.06910343,-47.06910343
248.1270165,-0.489717818,-0.020194549,-45.55147726,-45.55147726
248.0954295,-0.500222886,-0.020627748,-45.73000448,-45.73000448
248.1387661,-0.513628349,-0.02118055,-46.69689882,-46.69689882
248.1274538,-0.507423202,-0.020924668,-47.60121748,-47.60121748
248.1111137,-0.511762395,-0.021103604,-47.30432841,-47.30432841
248.0656185,-0.511529416,-0.021093997,-46.7849044,-46.7849044
248.0261349,-0.510066298,-0.021033662,-46.98314347,-46.98314347
248.146608,-0.504243896,-0.020793563,-46.02346918,-46.02346918
248.1538765,-0.513050927,-0.021156739,-47.09771886,-47.09771886
248.0427481,-0.515128204,-0.0212424,-47.62233256,-47.62233256
248.1758451,-0.516105413,-0.021282697,-47.2187957,-47.2187957
248.0760017,-0.519192523,-0.021410001,-46.75149128,-46.75149128
248.1478375,-0.515681776,-0.021265228,-47.66654596,-47.66654596
248.0579951,-0.520537136,-0.021465449,-45.45782726,-45.45782726
248.0780511,-0.51470788,-0.021225067,-46.00389596,-46.00389596
248.1302681,-0.522488972,-0.021545937,-45.67799257,-45.67799257
248.0801824,-0.513903991,-0.021191917,-47.58420751,-47.58420751
248.0619569,-0.521415141,-0.021501655,-48.7396652,-48.7396652
248.0420104,-0.516896003,-0.021315299,-47.01801964,-47.01801964
247.9890282,-0.51837442,-0.021376265,-49.74197639,-49.74197639
248.0955114,-0.520669354,-0.021470901,-48.97678781,-48.97678781
248.129831,-0.522215342,-0.021534653,-49.98633185,-49.98633185
248.1471819,-0.527862717,-0.021767535,-50.64580547,-50.64580547
247.9841645,-0.5208919,-0.021480078,-48.24119044,-48.24119044
248.0673673,-0.517912862,-0.021357231,-50.0288545,-50.0288545
248.0563828,-0.524436037,-0.021626228,-50.75395026,-50.75395026
248.0296052,-0.519158844,-0.021408612,-49.74363426,-49.74363426
248.0919045,-0.527094346,-0.021735849,-50.80291211,-50.80291211
248.0783788,-0.517122492,-0.021324639,-51.40792959,-51.40792959
248.1926226,-0.521007212,-0.021484833,-58.1721622,-58.1721622
248.032365,-0.525662814,-0.021676817,-53.45812563,-53.45812563
248.1195572,-0.531015593,-0.02189755,-51.9736861,-51.9736861
248.1379736,-0.536710476,-0.022132391,-52.37462157,-52.37462157
247.9654201,-0.554833275,-0.022879723,-52.75050822,-52.75050822
248.0676406,-0.574139599,-0.02367586,-52.6009762,-52.6009762
248.1345307,-0.608799599,-0.025105138,-52.20370901,-52.20370901
248.0756465,-0.641588753,-0.026457268,-53.35728285,-53.35728285
248.1192018,-0.65214396,-0.026892534,-54.24393902,-54.24393902
248.0049036,-0.659678896,-0.027203253,-55.34359558,-55.34359558
248.0569294,-0.665887451,-0.027459276,-55.52555777,-55.52555777
248.1056489,-0.687224441,-0.028339152,-54.40159566,-54.40159566
247.965256,-0.695427163,-0.028677409,-55.2225606,-55.2225606
248.1092284,-0.712936321,-0.029399436,-57.38100627,-57.38100627
248.0835432,-0.728897921,-0.030057646,-56.57829912,-56.57829912
248.0673127,-0.744248158,-0.030690646,-55.60496667,-55.60496667
